Date:-, Unemployment Rate ,Annual change,Youth Unemployment Rate ,Annual Change,,,Date:, Literacy Rate, Annual Change(%),,,Date-, % Under US $5.50 Per Day,Change
12/31/1991,5.45,0,16.6,0,,,12/31/1981,40.7636,0,,,12/31/1977,97,0
12/31/1992,5.504,0.05,16.785,0.18,,,12/31/1991,48.2221,7.46,,,12/31/1983,96.4,-0.6
12/31/1993,5.612,0.11,17.143,0.36,,,12/31/2001,61.0146,12.79,,,12/31/1987,95.5,-0.9
12/31/1994,5.631,0.02,17.242,0.1,,,12/31/2006,62.7545,1.74,,,12/31/1993,95.3,-0.2
12/31/1995,5.636,0,17.327,0.09,,,12/31/2011,69.3026,6.55,,,12/31/2004,92.5,-2.8
12/31/1996,5.652,0.02,17.444,0.12,,,12/31/2018,74.373,5.07,,,12/31/2009,90.6,-1.9
12/31/1997,5.637,-0.02,17.526,0.08,,,12/31/2019,79.954,5.581,,,12/31/2011,86.8,-3.8
12/31/1998,5.631,-0.01,17.564,0.04,,,,,,,,12/31/2018,62.6,-24.2
12/31/1999,5.685,0.05,17.749,0.18,,,,,,,,,,
12/31/2000,5.663,-0.02,17.825,0.08,,,,,,,,,,
12/31/2001,5.659,0,17.889,0.06,,,,,,,,,,
12/31/2002,5.719,0.06,18.139,0.25,,,,,,,,,,
12/31/2003,5.725,0.01,18.195,0.06,,,,,,,,,,
12/31/2004,5.669,-0.06,18.163,-0.03,,,,,,,,,,
12/31/2005,5.598,-0.07,18.095,-0.07,,,,,,,,,,
12/31/2006,5.45,-0.15,18.069,-0.03,,,,,,,,,,
12/31/2007,5.323,-0.13,18.114,0.05,,,,,,,,,,
12/31/2008,5.281,-0.04,18.501,0.39,,,,,,,,,,
12/31/2009,5.566,0.29,19.666,1.17,,,,,,,,,,
12/31/2010,5.636,0.07,20.298,0.63,,,,,,,,,,
12/31/2011,5.638,0,20.838,0.54,,,,,,,,,,
12/31/2012,5.652,0.01,21.393,0.56,,,,,,,,,,
12/31/2013,5.671,0.02,21.851,0.46,,,,,,,,,,
12/31/2014,5.608,-0.06,22.067,0.22,,,,,,,,,,
12/31/2015,5.565,-0.04,22.339,0.27,,,,,,,,,,
12/31/2016,5.511,-0.05,22.579,0.24,,,,,,,,,,
12/31/2017,5.419,-0.09,22.722,0.14,,,,,,,,,,
12/31/2018,5.33,-0.09,22.847,0.13,,,,,,,,,,
12/31/2019,5.355,0.03,23.338,0.49,,,,,,,,,,
4/30/2020,18.3,12.94,43.652,20.31,,,,,,,,,,
